"subject","hem","roi","cyto","domain","group","tract","percentage"
"JTE11","lh","mFus-faces","FG4","face","kid","ILF",1.69114374721851
"JTE11","lh","mFus-faces","FG4","face","kid","AF",20.9167779261237
"JTE11","lh","mFus-faces","FG4","face","kid","pAF",76.59101023587
"JTE11","lh","mFus-faces","FG4","face","kid","VOF",0.534045393858478
"JDB11","lh","mFus-faces","FG4","face","kid","IFOF",0
"JDB11","lh","mFus-faces","FG4","face","kid","ILF",17.3708920187793
"JDB11","lh","mFus-faces","FG4","face","kid","AF",39.4366197183099
"JDB11","lh","mFus-faces","FG4","face","kid","pAF",42.7230046948357
"JDB11","lh","mFus-faces","FG4","face","kid","VOF",0
"LL11","lh","mFus-faces","FG4","face","kid","IFOF",0
"LL11","lh","mFus-faces","FG4","face","kid","ILF",2.41570206341218
"LL11","lh","mFus-faces","FG4","face","kid","AF",22.8988424760946
"LL11","lh","mFus-faces","FG4","face","kid","pAF",74.2828384499245
"LL11","lh","mFus-faces","FG4","face","kid","VOF",0.100654252642174
"CS11","lh","mFus-faces","FG4","face","kid","IFOF",0
"CS11","lh","mFus-faces","FG4","face","kid","ILF",26.2987012987013
"CS11","lh","mFus-faces","FG4","face","kid","AF",8.11688311688312
"CS11","lh","mFus-faces","FG4","face","kid","pAF",63.3116883116883
"CS11","lh","mFus-faces","FG4","face","kid","VOF",1.94805194805195
"OS12","lh","mFus-faces","FG4","face","kid","IFOF",0
"OS12","lh","mFus-faces","FG4","face","kid","ILF",19.5238095238095
"OS12","lh","mFus-faces","FG4","face","kid","AF",14.5238095238095
"OS12","lh","mFus-faces","FG4","face","kid","pAF",65.9523809523809
"OS12","lh","mFus-faces","FG4","face","kid","VOF",0
"CLC06","lh","mFus-faces","FG4","face","kid","IFOF",0
"CLC06","lh","mFus-faces","FG4","face","kid","ILF",12.6016260162602
"CLC06","lh","mFus-faces","FG4","face","kid","AF",14.2276422764228
"CLC06","lh","mFus-faces","FG4","face","kid","pAF",71.9512195121951
