"subject","hem","roi","cyto","domain","group","tract","percentage"
"NC24/NC24_150321_time_01_1","lh","FG4-ant","FG4","none","adult","ILF",3.48258706467662
"NC24/NC24_150321_time_01_1","lh","FG4-ant","FG4","none","adult","AF",55.7213930348259
"NC24/NC24_150321_time_01_1","lh","FG4-ant","FG4","none","adult","pAF",40.7960199004975
"NC24/NC24_150321_time_01_1","lh","FG4-ant","FG4","none","adult","VOF",0
"CB24/CB24_151102_time_01_1","lh","FG4-ant","FG4","none","adult","IFOF",0
"CB24/CB24_151102_time_01_1","lh","FG4-ant","FG4","none","adult","ILF",2.24719101123596
"CB24/CB24_151102_time_01_1","lh","FG4-ant","FG4","none","adult","AF",25.5216693418941
"CB24/CB24_151102_time_01_1","lh","FG4-ant","FG4","none","adult","pAF",72.23113964687
"CB24/CB24_151102_time_01_1","lh","FG4-ant","FG4","none","adult","VOF",0
"CR24/CR24_150307_time_01_1","lh","FG4-ant","FG4","none","adult","IFOF",0
"CR24/CR24_150307_time_01_1","lh","FG4-ant","FG4","none","adult","ILF",5.97014925373134
"CR24/CR24_150307_time_01_1","lh","FG4-ant","FG4","none","adult","AF",15.6716417910448
"CR24/CR24_150307_time_01_1","lh","FG4-ant","FG4","none","adult","pAF",78.3582089552239
"CR24/CR24_150307_time_01_1","lh","FG4-ant","FG4","none","adult","VOF",0
"AI24/AI24_150309_time_01_1","lh","FG4-ant","FG4","none","adult","IFOF",0
"AI24/AI24_150309_time_01_1","lh","FG4-ant","FG4","none","adult","ILF",0.411522633744856
"AI24/AI24_150309_time_01_1","lh","FG4-ant","FG4","none","adult","AF",17.2839506172839
"AI24/AI24_150309_time_01_1","lh","FG4-ant","FG4","none","adult","pAF",82.3045267489712
"AI24/AI24_150309_time_01_1","lh","FG4-ant","FG4","none","adult","VOF",0
"AD25/AD25_150226_time_01_1","lh","FG4-ant","FG4","none","adult","IFOF",0
"AD25/AD25_150226_time_01_1","lh","FG4-ant","FG4","none","adult","ILF",30.1020408163265
"AD25/AD25_150226_time_01_1","lh","FG4-ant","FG4","none","adult","AF",8.6734693877551
"AD25/AD25_150226_time_01_1","lh","FG4-ant","FG4","none","adult","pAF",60.7142857142857
"AD25/AD25_150226_time_01_1","lh","FG4-ant","FG4","none","adult","VOF",0
"JM25/JM25_150324_time_01_1","lh","FG4-ant","FG4","none","adult","IFOF",0
"JM25/JM25_150324_time_01_1","lh","FG4-ant","FG4","none","adult","ILF",0
"JM25/JM25_150324_time_01_1","lh","FG4-ant","FG4","none","adult","AF",29.5238095238095
"JM25/JM25_150324_time_01_1","lh","FG4-ant","FG4","none","adult","pAF",70.4761904761905
"JM25/JM25_150324_time_01_1","lh","FG4-ant","FG4","none","adult","VOF",0
"MB26/MB26_150426_time_01_1","lh","FG4-ant","FG4","none","adult","IFOF",0
"MB26/MB26_150426_time_01_1","lh","FG4-ant","FG4","none","adult","ILF",6.1787072243346
"MB26/MB26_150426_time_01_1","lh","FG4-ant","FG4","none","adult","AF",38.8783269961977
"MB26/MB26_150426_time_01_1","lh","FG4-ant","FG4","none","adult","pAF",54.7528517110266
"MB26/MB26_150426_time_01_1","lh","FG4-ant","FG4","none","adult","VOF",0
"MC26/MC26_150211_time_01_1","lh","FG4-ant","FG4","none","adult","IFOF",0
"MC26/MC26_150211_time_01_1","lh","FG4-ant","FG4","none","adult","ILF",0
"MC26/MC26_150211_time_01_1","lh","FG4-ant","FG4","none","adult","AF",47.3684210526316
"MC26/MC26_150211_time_01_1","lh","FG4-ant","FG4","none","adult","pAF",52.6315789473684
"MC26/MC26_150211_time_01_1","lh","FG4-ant","FG4","none","adult","VOF",0
"MMC27/MMC27_150321_time_01_1","lh","FG4-ant","FG4","none","adult","IFOF",0
"MMC27/MMC27_150321_time_01_1","lh","FG4-ant","FG4","none","adult","ILF",7.8125
"MMC27/MMC27_150321_time_01_1","lh","FG4-ant","FG4","none","adult","AF",20.3125
"MMC27/MMC27_150321_time_01_1","lh","FG4-ant","FG4","none","adult","pAF",71.875
"MMC27/MMC27_150321_time_01_1","lh","FG4-ant","FG4","none","adult","VOF",0
"MSH28/MSH28_150401_time_01_1","lh","FG4-ant","FG4","none","adult","IFOF",0
"MSH28/MSH28_150401_time_01_1","lh","FG4-ant","FG4","none","adult","ILF",2.71356783919598
"MSH28/MSH28_150401_time_01_1","lh","FG4-ant","FG4","none","adult","AF",45.0251256281407
"MSH28/MSH28_150401_time_01_1","lh","FG4-ant","FG4","none","adult","pAF",52.2613065326633
"MSH28/MSH28_150401_time_01_1","lh","FG4-ant","FG4","none","adult","VOF",0
"ZCM05","lh","FG4-ant","FG4","none","kid","IFOF",0
"ZCM05","lh","FG4-ant","FG4","none","kid","ILF",4.19512195121951
"ZCM05","lh","FG4-ant","FG4","none","kid","AF",16.4878048780488
"ZCM05","lh","FG4-ant","FG4","none","kid","pAF",79.3170731707317
"ZCM05","lh","FG4-ant","FG4","none","kid","VOF",0
"MEC05","lh","FG4-ant","FG4","none","kid","IFOF",0
"MEC05","lh","FG4-ant","FG4","none","kid","ILF",0
"MEC05","lh","FG4-ant","FG4","none","kid","AF",10.6290672451193
"MEC05","lh","FG4-ant","FG4","none","kid","pAF",89.3709327548807
"MEC05","lh","FG4-ant","FG4","none","kid","VOF",0
"RHSA06","lh","FG4-ant","FG4","none","kid","IFOF",0
"RHSA06","lh","FG4-ant","FG4","none","kid","ILF",2.77536860364267
"RHSA06","lh","FG4-ant","FG4","none","kid","AF",23.0268863833478
"RHSA06","lh","FG4-ant","FG4","none","kid","pAF",74.1977450130095
"RHSA06","lh","FG4-ant","FG4","none","kid","VOF",0
"INW06","lh","FG4-ant","FG4","none","kid","IFOF",0
"INW06","lh","FG4-ant","FG4","none","kid","ILF",8.96739130434783
"INW06","lh","FG4-ant","FG4","none","kid","AF",19.0217391304348
"INW06","lh","FG4-ant","FG4","none","kid","pAF",72.0108695652174
"INW06","lh","FG4-ant","FG4","none","kid","VOF",0
"AlS07","lh","FG4-ant","FG4","none","kid","IFOF",0
"AlS07","lh","FG4-ant","FG4","none","kid","ILF",4.20006412311638
"AlS07","lh","FG4-ant","FG4","none","kid","AF",22.9881372234691
"AlS07","lh","FG4-ant","FG4","none","kid","pAF",72.8117986534146
"AlS07","lh","FG4-ant","FG4","none","kid","VOF",0
"SDS07","lh","FG4-ant","FG4","none","kid","IFOF",0
"SDS07","lh","FG4-ant","FG4","none","kid","ILF",1.96335078534031
"SDS07","lh","FG4-ant","FG4","none","kid","AF",8.90052356020942
"SDS07","lh","FG4-ant","FG4","none","kid","pAF",89.1361256544503
"SDS07","lh","FG4-ant","FG4","none","kid","VOF",0
"SM08","lh","FG4-ant","FG4","none","kid","IFOF",0
"SM08","lh","FG4-ant","FG4","none","kid","ILF",0
"SM08","lh","FG4-ant","FG4","none","kid","AF",21.6494845360825
"SM08","lh","FG4-ant","FG4","none","kid","pAF",78.3505154639175
"SM08","lh","FG4-ant","FG4","none","kid","VOF",0
"MDT09","lh","FG4-ant","FG4","none","kid","IFOF",0
"MDT09","lh","FG4-ant","FG4","none","kid","ILF",17.9802955665025
"MDT09","lh","FG4-ant","FG4","none","kid","AF",20.6896551724138
"MDT09","lh","FG4-ant","FG4","none","kid","pAF",61.3300492610837
"MDT09","lh","FG4-ant","FG4","none","kid","VOF",0
"LEE09","lh","FG4-ant","FG4","none","kid","IFOF",0
"LEE09","lh","FG4-ant","FG4","none","kid","ILF",0.22271714922049
"LEE09","lh","FG4-ant","FG4","none","kid","AF",11.358574610245
"LEE09","lh","FG4-ant","FG4","none","kid","pAF",88.4187082405345
"LEE09","lh","FG4-ant","FG4","none","kid","VOF",0
"GEJA09","lh","FG4-ant","FG4","none","kid","IFOF",0
"GEJA09","lh","FG4-ant","FG4","none","kid","ILF",13.4179510426111
"GEJA09","lh","FG4-ant","FG4","none","kid","AF",25.4759746146872
"GEJA09","lh","FG4-ant","FG4","none","kid","pAF",61.0154125113327
"GEJA09","lh","FG4-ant","FG4","none","kid","VOF",0
"DAPA10","lh","FG4-ant","FG4","none","kid","IFOF",0
"DAPA10","lh","FG4-ant","FG4","none","kid","ILF",15.625
"DAPA10","lh","FG4-ant","FG4","none","kid","AF",43.75
